X--Trace 1::[interactive: TIME],Y--Trace 1::[V_in: V(2)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_out: V(3)]
2.1755100000000005,0.979999999999535,,2.1755100000000005,0.8011932857980322
2.1755300000000006,0.939999999999273,,2.1755300000000006,0.8007500999955606
2.1755700000000004,0.859999999999637,,2.1755700000000004,0.8018196615581112
2.1756500000000005,0.699999999999477,,2.1756500000000005,0.800436641370379
2.1757500000000007,0.499999999999055,,2.1757500000000007,0.8020077181093817
2.175850000000001,0.2999999999986329,,2.175850000000001,0.8002694729018806
2.175950000000001,0.09999999999821085,,2.175950000000001,0.8021748921057402
2.176,0,,2.176,0.80001869718008
2.17601,0.020000000000131024,,2.17601,-0.7988300726430024
2.1760300000000004,0.06000000000039307,,2.1760300000000004,-0.798394688619609
2.17607,0.140000000000029,,2.17607,-0.7994521720413561
2.1761500000000003,0.300000000000189,,2.1761500000000003,-0.7980837533984209
2.1762500000000005,0.5000000000006111,,2.1762500000000005,-0.7996387101902016
2.1763500000000007,0.7000000000010331,,2.1763500000000007,-0.7979179365029112
2.176450000000001,0.9000000000014552,,2.176450000000001,-0.7998045326127542
2.1765000000000003,0.999999999999666,,2.1765000000000003,-0.7976691882626885
2.1765100000000004,0.979999999999535,,2.1765100000000004,0.8011932912898103
2.1765300000000005,0.939999999999273,,2.1765300000000005,0.8007500884329425
2.1765700000000003,0.859999999999637,,2.1765700000000003,0.8018196772569794
2.1766500000000004,0.699999999999477,,2.1766500000000004,0.800436623441045
2.1767500000000006,0.499999999999055,,2.1767500000000006,0.8020077379491788
2.176850000000001,0.2999999999986329,,2.176850000000001,0.8002694510678967
2.176950000000001,0.09999999999821085,,2.176950000000001,0.8021749159280985
2.177,0,,2.177,0.8000186695794679
2.17701,0.020000000000131024,,2.17701,-0.7988300706280076
2.1770300000000002,0.06000000000039307,,2.1770300000000002,-0.7983946838566518
2.17707,0.140000000000029,,2.17707,-0.7994521809866818
2.17715,0.300000000000189,,2.17715,-0.7980837423818503
2.1772500000000004,0.5000000000006111,,2.1772500000000004,-0.7996387228990123
2.1773500000000006,0.7000000000010331,,2.1773500000000006,-0.7979179220614803
2.1774500000000008,0.9000000000014552,,2.1774500000000008,-0.7998045487929408
2.1775,0.999999999999666,,2.1775,-0.7976691685992607
2.1775100000000003,0.979999999999535,,2.1775100000000003,0.8011932805136232
2.1775300000000004,0.939999999999273,,2.1775300000000004,0.8007501166186552
2.1775700000000002,0.859999999999637,,2.1775700000000002,0.801819637664072
2.1776500000000003,0.699999999999477,,2.1776500000000003,0.8004366690699293
2.1777500000000005,0.499999999999055,,2.1777500000000005,0.802007687356077
2.1778500000000007,0.2999999999986329,,2.1778500000000007,0.8002695066145408
2.177950000000001,0.09999999999821085,,2.177950000000001,0.8021748555205199
2.178,0,,2.178,0.8000187392705624
2.17801,0.020000000000131024,,2.17801,-0.798830076569576
2.17803,0.06000000000039307,,2.17803,-0.7983946924291409
2.17807,0.140000000000029,,2.17807,-0.7994521632568661
2.17815,0.300000000000189,,2.17815,-0.7980837645850907
2.1782500000000002,0.5000000000006111,,2.1782500000000002,-0.7996386971550079
2.1783500000000005,0.7000000000010331,,2.1783500000000005,-0.7979179514060925
2.1784500000000007,0.9000000000014552,,2.1784500000000007,-0.7998045158241678
2.1785,0.999999999999666,,2.1785,-0.7976692085067885
2.17851,0.979999999999535,,2.17851,0.8011932736693889
2.1785300000000003,0.939999999999273,,2.1785300000000003,0.8007501662114284
2.17857,0.859999999999637,,2.17857,0.8018195604439355
2.17865,0.699999999999477,,2.17865,0.8004367601592196
2.1787500000000004,0.499999999999055,,2.1787500000000004,0.8020075851111765
2.1788500000000006,0.2999999999986329,,2.1788500000000006,0.8002696201227272
2.178950000000001,0.09999999999821085,,2.178950000000001,0.8021747306111824
2.179,0,,2.179,0.8000188873336748
2.17901,0.020000000000131024,,2.17901,-0.7988301101927868
2.17903,0.06000000000039307,,2.17903,-0.798394646699089
2.17907,0.140000000000029,,2.17907,-0.7994522168663976
2.17915,0.300000000000189,,2.17915,-0.7980837070110809
2.17925,0.5000000000006111,,2.17925,-0.7996387578675235
2.1793500000000003,0.7000000000010331,,2.1793500000000003,-0.7979178875287766
2.1794500000000006,0.9000000000014552,,2.1794500000000006,-0.7998045828582586
2.1795,0.999999999999666,,2.1795,-0.7976691354921688
2.17951,0.979999999999535,,2.17951,0.8011932874296548
2.17953,0.939999999999273,,2.17953,0.8007500936361371
2.17957,0.859999999999637,,2.17957,0.8018196715620135
2.17965,0.699999999999477,,2.17965,0.8004366293144366
2.1797500000000003,0.499999999999055,,2.1797500000000003,0.8020077319050312
2.1798500000000005,0.2999999999986329,,2.1798500000000005,0.8002694573100011
2.1799500000000007,0.09999999999821085,,2.1799500000000007,0.802174909509275
2.1799999999999997,2.2026824808563106e-13,,2.1799999999999997,0.8000186762425665
2.18001,0.019999999999242846,,2.18001,-0.7988300702001025
2.18003,0.059999999999504894,,2.18003,-0.7983946863870763
2.1800699999999997,0.1399999999991408,,2.1800699999999997,-0.7994521769178115
2.18015,0.2999999999993008,,2.18015,-0.7980837472522255
2.18025,0.4999999999997229,,2.18025,-0.7996387174048689
2.1803500000000002,0.700000000000145,,2.1803500000000002,-0.7979179281745563
2.1804500000000004,0.900000000000567,,2.1804500000000004,-0.7998045420591418
2.1805000000000003,0.999999999999666,,2.1805000000000003,-0.7976691766828937
2.1805100000000004,0.979999999999535,,2.1805100000000004,0.8011932899100114
2.1805300000000005,0.939999999999273,,2.1805300000000005,0.8007500868010438
2.1805700000000003,0.859999999999637,,2.1805700000000003,0.8018196807703236
2.1806500000000004,0.699999999999477,,2.1806500000000004,0.8004366189961933
2.1807500000000006,0.499999999999055,,2.1807500000000006,0.8020077430992878
2.180850000000001,0.2999999999986329,,2.180850000000001,0.8002694452431226
2.180950000000001,0.09999999999821085,,2.180950000000001,0.8021749224331547
2.181,0,,2.181,0.8000186615748661
2.18101,0.020000000000131024,,2.18101,-0.7988300661814242
2.1810300000000002,0.06000000000039307,,2.1810300000000002,-0.7983946950268187
2.18107,0.140000000000029,,2.18107,-0.7994521655399391
2.18115,0.300000000000189,,2.18115,-0.7980837599520854
